# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      79 1.755e-06 1.947e-06 1.842e-06 4.652e-08
     100 2.280e-06 2.498e-06 2.379e-06 5.058e-08
     126 2.869e-06 3.112e-06 2.987e-06 5.826e-08
     158 3.813e-06 4.100e-06 3.957e-06 6.596e-08
     200 5.022e-06 5.342e-06 5.178e-06 7.669e-08
     251 6.388e-06 6.772e-06 6.569e-06 9.185e-08
     316 8.606e-06 9.087e-06 8.832e-06 1.113e-07
     398 1.134e-05 1.187e-05 1.159e-05 1.237e-07
     501 1.449e-05 1.508e-05 1.477e-05 1.468e-07
     631 1.937e-05 2.016e-05 1.972e-05 1.783e-07
     794 2.553e-05 2.636e-05 2.592e-05 1.971e-07
    1000 3.269e-05 3.366e-05 3.315e-05 2.237e-07
    1259 4.319e-05 4.443e-05 4.376e-05 2.858e-07
    1585 5.710e-05 5.854e-05 5.774e-05 3.189e-07
    1995 7.309e-05 7.468e-05 7.380e-05 3.607e-07
    2512 9.577e-05 9.811e-05 9.668e-05 4.540e-07
    3162 1.268e-04 1.293e-04 1.278e-04 5.399e-07
    3981 1.622e-04 1.654e-04 1.634e-04 6.406e-07
    5012 2.108e-04 2.148e-04 2.121e-04 7.505e-07
    6310 2.791e-04 2.839e-04 2.807e-04 9.188e-07
    7943 3.566e-04 3.625e-04 3.586e-04 1.139e-06
   10000 4.602e-04 4.668e-04 4.624e-04 1.326e-06
   12589 6.091e-04 6.182e-04 6.116e-04 1.534e-06
   15849 7.773e-04 7.913e-04 7.806e-04 2.102e-06
   19953 9.982e-04 1.016e-03 1.002e-03 2.837e-06
   25119 1.320e-03 1.340e-03 1.324e-03 3.451e-06
   31623 1.684e-03 1.708e-03 1.690e-03 5.043e-06
   39811 2.158e-03 2.187e-03 2.166e-03 6.525e-06
   50119 2.844e-03 2.872e-03 2.853e-03 6.831e-06
   63096 3.623e-03 3.653e-03 3.633e-03 7.462e-06
   79433 4.637e-03 4.689e-03 4.652e-03 1.327e-05
  100000 6.091e-03 6.144e-03 6.104e-03 1.364e-05
  125893 7.753e-03 7.840e-03 7.779e-03 2.056e-05
  158489 9.917e-03 1.002e-02 9.945e-03 2.397e-05
  199526 1.299e-02 1.314e-02 1.303e-02 2.874e-05
  251189 1.654e-02 1.670e-02 1.658e-02 2.611e-05
  316228 2.111e-02 2.132e-02 2.117e-02 4.127e-05
  398107 2.760e-02 2.788e-02 2.767e-02 4.908e-05
  501187 3.507e-02 3.543e-02 3.514e-02 5.352e-05
  630957 4.480e-02 4.510e-02 4.491e-02 6.283e-05
  794328 5.844e-02 5.905e-02 5.858e-02 1.057e-04
 1000000 7.432e-02 7.499e-02 7.447e-02 1.189e-04
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.370e-07 6.860e-07 5.726e-07 2.524e-08
      13 6.060e-07 6.900e-07 6.467e-07 1.965e-08
      16 6.830e-07 7.760e-07 7.294e-07 2.211e-08
      20 7.950e-07 9.020e-07 8.467e-07 2.568e-08
      25 9.450e-07 1.068e-06 1.005e-06 2.896e-08
      32 1.176e-06 1.322e-06 1.249e-06 3.550e-08
      40 1.453e-06 1.621e-06 1.535e-06 4.131e-08
      50 1.817e-06 2.015e-06 1.916e-06 4.801e-08
      63 2.321e-06 2.656e-06 2.439e-06 6.134e-08
      79 2.973e-06 3.233e-06 3.102e-06 6.386e-08
     100 3.873e-06 4.186e-06 4.026e-06 7.518e-08
     126 5.070e-06 5.438e-06 5.243e-06 8.637e-08
     158 6.577e-06 6.972e-06 6.770e-06 9.290e-08
     200 8.667e-06 9.120e-06 8.891e-06 1.074e-07
     251 1.131e-05 1.185e-05 1.157e-05 1.276e-07
     316 1.464e-05 1.525e-05 1.494e-05 1.504e-07
     398 1.917e-05 1.993e-05 1.952e-05 1.798e-07
     501 2.509e-05 2.594e-05 2.552e-05 1.991e-07
     631 3.262e-05 3.358e-05 3.308e-05 2.291e-07
     794 4.244e-05 4.364e-05 4.302e-05 2.670e-07
    1000 5.544e-05 5.681e-05 5.606e-05 3.150e-07
    1259 7.176e-05 7.338e-05 7.250e-05 3.567e-07
    1585 9.322e-05 9.502e-05 9.404e-05 4.004e-07
    1995 1.209e-04 1.231e-04 1.219e-04 4.969e-07
    2512 1.564e-04 1.591e-04 1.575e-04 5.875e-07
    3162 2.023e-04 2.062e-04 2.037e-04 7.211e-07
    3981 2.620e-04 2.664e-04 2.637e-04 8.721e-07
    5012 3.384e-04 3.427e-04 3.402e-04 9.380e-07
    6310 4.372e-04 4.428e-04 4.393e-04 1.142e-06
    7943 5.656e-04 5.739e-04 5.680e-04 1.424e-06
   10000 7.307e-04 7.674e-04 7.337e-04 2.438e-06
   12589 9.452e-04 1.047e-03 9.554e-04 1.587e-05
   15849 1.224e-03 1.281e-03 1.232e-03 1.361e-05
   19953 1.580e-03 1.814e-03 1.607e-03 4.199e-05
   25119 2.040e-03 2.255e-03 2.083e-03 4.870e-05
   31623 2.637e-03 2.833e-03 2.664e-03 3.953e-05
   39811 3.405e-03 3.725e-03 3.461e-03 6.889e-05
   50119 4.399e-03 5.491e-03 4.628e-03 2.590e-04
   63096 5.685e-03 6.950e-03 5.865e-03 2.875e-04
   79433 7.351e-03 8.762e-03 7.690e-03 3.430e-04
  100000 9.510e-03 1.133e-02 1.005e-02 5.218e-04
  125893 1.235e-02 1.426e-02 1.324e-02 6.301e-04
  158489 1.599e-02 1.657e-02 1.606e-02 9.228e-05
  199526 2.072e-02 2.457e-02 2.133e-02 8.120e-04
  251189 2.686e-02 3.121e-02 2.784e-02 9.427e-04
  316228 3.470e-02 4.148e-02 3.662e-02 1.886e-03
  398107 4.487e-02 4.679e-02 4.529e-02 4.392e-04
  501187 5.803e-02 6.329e-02 5.912e-02 1.337e-03
  630957 7.485e-02 8.011e-02 7.566e-02 9.518e-04
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.900e-07 5.040e-07 4.956e-07 2.522e-09
      13 5.170e-07 5.290e-07 5.216e-07 2.794e-09
      16 5.480e-07 5.620e-07 5.546e-07 3.259e-09
      20 6.000e-07 6.210e-07 6.095e-07 4.967e-09
      25 6.940e-07 7.230e-07 7.073e-07 6.870e-09
      32 8.540e-07 9.010e-07 8.753e-07 1.089e-08
      40 1.087e-06 1.155e-06 1.119e-06 1.628e-08
      50 1.455e-06 1.568e-06 1.503e-06 2.718e-08
      63 2.038e-06 2.211e-06 2.119e-06 4.040e-08
      79 2.950e-06 3.205e-06 3.069e-06 6.003e-08
     100 4.447e-06 4.844e-06 4.634e-06 9.262e-08
     126 6.786e-06 7.556e-06 7.101e-06 1.677e-07
     158 1.035e-05 1.135e-05 1.081e-05 2.283e-07
     200 1.631e-05 1.805e-05 1.700e-05 3.652e-07
     251 2.537e-05 2.774e-05 2.629e-05 4.929e-07
     316 4.041e-05 4.373e-05 4.175e-05 7.046e-07
     398 6.377e-05 6.805e-05 6.564e-05 9.722e-07
     501 1.005e-04 1.087e-04 1.034e-04 1.587e-06
     631 1.589e-04 1.676e-04 1.629e-04 2.000e-06
     794 2.517e-04 2.653e-04 2.574e-04 3.073e-06
    1000 3.984e-04 4.194e-04 4.070e-04 4.384e-06
    1259 6.326e-04 6.750e-04 6.450e-04 7.237e-06
    1585 1.003e-03 1.056e-03 1.022e-03 1.024e-05
    1995 1.589e-03 1.672e-03 1.617e-03 1.584e-05
    2512 2.530e-03 2.730e-03 2.569e-03 2.670e-05
    3162 4.021e-03 4.240e-03 4.077e-03 3.783e-05
    3981 6.378e-03 6.668e-03 6.458e-03 5.072e-05
    5012 1.011e-02 1.068e-02 1.025e-02 1.160e-04
    6310 1.603e-02 1.711e-02 1.630e-02 2.424e-04
    7943 2.542e-02 2.609e-02 2.564e-02 1.362e-04
   10000 4.034e-02 4.103e-02 4.062e-02 1.473e-04
   12589 6.395e-02 6.490e-02 6.436e-02 2.074e-04
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.180e-07 5.470e-07 5.305e-07 6.644e-09
      13 5.880e-07 6.170e-07 6.012e-07 6.712e-09
      16 6.740e-07 7.080e-07 6.901e-07 7.887e-09
      20 8.250e-07 8.600e-07 8.420e-07 8.331e-09
      25 1.053e-06 1.091e-06 1.072e-06 8.811e-09
      32 1.450e-06 1.494e-06 1.474e-06 9.472e-09
      40 2.007e-06 2.118e-06 2.057e-06 1.837e-08
      50 2.877e-06 2.984e-06 2.952e-06 2.128e-08
      63 4.266e-06 4.462e-06 4.406e-06 4.348e-08
      79 6.446e-06 6.826e-06 6.663e-06 8.120e-08
     100 1.003e-05 1.081e-05 1.037e-05 1.437e-07
     126 1.568e-05 1.659e-05 1.610e-05 1.866e-07
     158 2.437e-05 2.594e-05 2.498e-05 2.878e-07
     200 3.887e-05 4.047e-05 3.958e-05 3.436e-07
     251 6.108e-05 6.298e-05 6.198e-05 4.207e-07
     316 9.694e-05 9.975e-05 9.802e-05 5.551e-07
     398 1.539e-04 1.571e-04 1.552e-04 6.796e-07
     501 2.447e-04 2.482e-04 2.462e-04 8.350e-07
     631 3.893e-04 3.954e-04 3.912e-04 1.053e-06
     794 6.182e-04 6.230e-04 6.204e-04 1.104e-06
    1000 9.837e-04 9.899e-04 9.862e-04 1.323e-06
    1259 1.564e-03 1.571e-03 1.567e-03 1.429e-06
    1585 2.485e-03 2.532e-03 2.490e-03 8.382e-06
    1995 3.946e-03 3.990e-03 3.950e-03 6.484e-06
    2512 6.268e-03 6.321e-03 6.273e-03 7.740e-06
    3162 9.947e-03 9.996e-03 9.952e-03 6.311e-06
    3981 1.579e-02 1.613e-02 1.582e-02 6.107e-05
    5012 2.506e-02 2.590e-02 2.520e-02 2.039e-04
    6310 3.976e-02 4.056e-02 3.994e-02 2.353e-04
    7943 6.305e-02 6.425e-02 6.334e-02 3.330e-04
#------- --------- --------- --------- ---------


